"C:\Program Files\Java\jdk1.8.0_131\bin\java" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58136:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_131\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\rt.jar;D:\dev\751G10\MavenTest\target\classes;C:\Users\Will\.m2\repository\org\openjdk\jmh\jmh-core\1.0\jmh-core-1.0.jar;C:\Users\Will\.m2\repository\net\sf\jopt-simple\jopt-simple\4.6\jopt-simple-4.6.jar;C:\Users\Will\.m2\repository\org\apache\commons\commons-math3\3.2\commons-math3-3.2.jar" org.sample.MyBenchmark
# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58136:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod1

# Run progress: 0.00% complete, ETA 00:04:00
# Fork: 1 of 1
# Warmup Iteration   1: 14.425 ops/s
# Warmup Iteration   2: 24.470 ops/s
# Warmup Iteration   3: 25.510 ops/s
# Warmup Iteration   4: 26.204 ops/s
# Warmup Iteration   5: 26.874 ops/s
# Warmup Iteration   6: 27.249 ops/s
# Warmup Iteration   7: 27.963 ops/s
# Warmup Iteration   8: 27.677 ops/s
# Warmup Iteration   9: 27.772 ops/s
# Warmup Iteration  10: 27.374 ops/s
Iteration  20: 28.640 ops/s
Iteration  21: 27.776 ops/s
Iteration  22: 27.215 ops/s
Iteration  23: 27.955 ops/s
Iteration  24: 26.074 ops/s
Iteration  25: 29.423 ops/s
Iteration  26: 28.677 ops/s
Iteration  27: 27.119 ops/s
Iteration  28: 25.968 ops/s
Iteration  29: 27.696 ops/s
Iteration  30: 27.812 ops/s
Iteration  31: 26.211 ops/s
Iteration  32: 27.850 ops/s
Iteration  33: 27.170 ops/s
Iteration  34: 26.965 ops/s
Iteration  35: 26.317 ops/s
Iteration  36: 25.180 ops/s
Iteration  37: 27.169 ops/s
Iteration  38: 24.755 ops/s
Iteration  39: 25.634 ops/s
Iteration  40: 25.988 ops/s
Iteration  41: 28.313 ops/s
Iteration  42: 26.351 ops/s
Iteration  43: 29.834 ops/s
Iteration  44: 26.870 ops/s
Iteration  45: 28.300 ops/s
Iteration  46: 27.355 ops/s
Iteration  47: 26.985 ops/s
Iteration  48: 27.721 ops/s
Iteration  49: 26.495 ops/s
Iteration  50: 30.695 ops/s


Result: 27.361 ±(99.9%) 0.730 ops/s [Average]
  Statistics: (min, avg, max) = (24.233, 27.361, 31.147), stdev = 1.475
  Confidence interval (99.9%): [26.631, 28.092]


# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58136:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod3

# Run progress: 50.00% complete, ETA 00:02:26
# Fork: 1 of 1
# Warmup Iteration   1: 2.404 ops/s
# Warmup Iteration   2: 3.601 ops/s
# Warmup Iteration   3: 3.576 ops/s
# Warmup Iteration   4: 4.048 ops/s
# Warmup Iteration   5: 4.111 ops/s
# Warmup Iteration   6: 4.203 ops/s
# Warmup Iteration   7: 4.129 ops/s
# Warmup Iteration   8: 4.163 ops/s
# Warmup Iteration   9: 4.118 ops/s
# Warmup Iteration  10: 4.122 ops/s
Iteration   1: 4.201 ops/s
Iteration   2: 3.938 ops/s
Iteration   3: 4.133 ops/s
Iteration   4: 4.116 ops/s
Iteration   5: 4.240 ops/s
Iteration   6: 4.186 ops/s
Iteration   7: 4.009 ops/s
Iteration   8: 4.112 ops/s
Iteration   9: 4.048 ops/s
Iteration  10: 4.071 ops/s
Iteration  11: 4.066 ops/s
Iteration  12: 4.153 ops/s
Iteration  13: 4.230 ops/s
Iteration  14: 4.097 ops/s
Iteration  15: 3.974 ops/s
Iteration  16: 4.085 ops/s
Iteration  17: 4.157 ops/s
Iteration  18: 4.089 ops/s
Iteration  19: 4.004 ops/s
Iteration  20: 4.214 ops/s
Iteration  21: 4.231 ops/s
Iteration  22: 4.270 ops/s
Iteration  23: 4.180 ops/s
Iteration  24: 4.229 ops/s
Iteration  25: 4.169 ops/s
Iteration  26: 4.176 ops/s
Iteration  27: 4.100 ops/s
Iteration  28: 4.249 ops/s
Iteration  29: 4.103 ops/s
Iteration  30: 4.285 ops/s
Iteration  31: 4.213 ops/s
Iteration  32: 4.206 ops/s
Iteration  33: 4.140 ops/s
Iteration  34: 4.233 ops/s
Iteration  35: 4.239 ops/s
Iteration  36: 4.187 ops/s
Iteration  37: 4.233 ops/s
Iteration  38: 4.227 ops/s
Iteration  39: 4.247 ops/s
Iteration  40: 4.161 ops/s
Iteration  41: 4.197 ops/s
Iteration  42: 4.274 ops/s
Iteration  43: 4.071 ops/s
Iteration  44: 4.227 ops/s
Iteration  45: 4.245 ops/s
Iteration  46: 4.151 ops/s
Iteration  47: 4.162 ops/s
Iteration  48: 4.256 ops/s
Iteration  49: 4.180 ops/s
Iteration  50: 4.111 ops/s


Result: 4.161 ±(99.9%) 0.041 ops/s [Average]
  Statistics: (min, avg, max) = (3.938, 4.161, 4.285), stdev = 0.082
  Confidence interval (99.9%): [4.121, 4.202]


# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58136:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod4

# Run progress: 75.00% complete, ETA 00:01:14
# Fork: 1 of 1
# Warmup Iteration   1: 8.501 ops/s
# Warmup Iteration   2: 21.588 ops/s
# Warmup Iteration   3: 22.735 ops/s
# Warmup Iteration   4: 22.000 ops/s
# Warmup Iteration   5: 21.746 ops/s
# Warmup Iteration   6: 21.280 ops/s
# Warmup Iteration   7: 21.007 ops/s
# Warmup Iteration   8: 21.780 ops/s
# Warmup Iteration   9: 22.045 ops/s
# Warmup Iteration  10: 20.673 ops/s
Iteration   1: 20.367 ops/s
Iteration   2: 21.140 ops/s
Iteration   3: 22.059 ops/s
Iteration   4: 21.981 ops/s
Iteration   5: 20.904 ops/s
Iteration   6: 21.061 ops/s
Iteration   7: 21.300 ops/s
Iteration   8: 22.557 ops/s
Iteration   9: 21.322 ops/s
Iteration  10: 21.736 ops/s
Iteration  11: 21.698 ops/s
Iteration  12: 22.454 ops/s
Iteration  13: 22.101 ops/s
Iteration  14: 22.490 ops/s
Iteration  15: 22.473 ops/s
Iteration  16: 21.675 ops/s
Iteration  17: 22.428 ops/s
Iteration  18: 21.895 ops/s
Iteration  19: 21.657 ops/s
Iteration  20: 21.739 ops/s
Iteration  21: 22.233 ops/s
Iteration  22: 20.352 ops/s
Iteration  23: 21.375 ops/s
Iteration  24: 21.549 ops/s
Iteration  25: 21.821 ops/s
Iteration  26: 21.427 ops/s
Iteration  27: 21.278 ops/s
Iteration  28: 21.967 ops/s
Iteration  29: 20.154 ops/s
Iteration  30: 22.045 ops/s
Iteration  31: 22.070 ops/s
Iteration  32: 22.215 ops/s
Iteration  33: 21.651 ops/s
Iteration  34: 22.198 ops/s
Iteration  35: 22.681 ops/s
Iteration  36: 21.033 ops/s
Iteration  37: 21.865 ops/s
Iteration  38: 21.722 ops/s
Iteration  39: 22.203 ops/s
Iteration  40: 21.587 ops/s
Iteration  41: 22.360 ops/s
Iteration  42: 22.374 ops/s
Iteration  43: 22.845 ops/s
Iteration  44: 21.960 ops/s
Iteration  45: 22.475 ops/s
Iteration  46: 22.568 ops/s
Iteration  47: 22.394 ops/s
Iteration  48: 22.561 ops/s
Iteration  49: 22.550 ops/s
Iteration  50: 22.455 ops/s


Result: 21.860 ±(99.9%) 0.310 ops/s [Average]
  Statistics: (min, avg, max) = (20.154, 21.860, 22.845), stdev = 0.626
  Confidence interval (99.9%): [21.550, 22.170]


# Run complete. Total time: 00:04:55

Benchmark                       Mode  Samples   Score  Score error  Units
o.s.MyBenchmark.testMethod1    thrpt       50  27.166        0.371  ops/s
o.s.MyBenchmark.testMethod2    thrpt       50  27.361        0.730  ops/s
o.s.MyBenchmark.testMethod3    thrpt       50   4.161        0.041  ops/s
o.s.MyBenchmark.testMethod4    thrpt       50  21.860        0.310  ops/s

Process finished with exit code 0
